n, fj_avg, fj_max, bin_avg, fj_gap_vs_lb, F(n), lg_nfact
 1,    0.000,   0,    0.000,  0.000,   0,    0.000
 2,    1.000,   1,    1.000,  0.000,   1,    1.000
 3,    2.664,   3,    2.664,  0.079,   3,    2.585
 4,    4.673,   5,    4.670,  0.088,   5,    4.585
 5,    6.935,   7,    7.061,  0.028,   7,    6.907
 6,    9.601,  10,    9.738,  0.109,  10,    9.492
 7,   12.459,  13,   12.596,  0.160,  13,   12.299
 8,   15.462,  16,   15.602,  0.162,  16,   15.299
 9,   18.583,  19,   18.808,  0.114,  19,   18.469
10,   21.850,  22,   22.205,  0.059,  22,   21.791
11,   25.400,  26,   25.744,  0.149,  26,   25.250
12,   29.060,  30,   29.430,  0.225,  30,   28.835
13,   32.837,  34,   33.193,  0.301,  34,   32.536
14,   36.704,  38,   37.036,  0.361,  38,   36.343
15,   40.668,  42,   40.988,  0.418,  42,   40.250
16,   44.654,  46,   44.975,  0.404,  46,   44.250
17,   48.769,  50,   49.122,  0.432,  50,   48.338
18,   52.885,  54,   53.307,  0.377,  54,   52.508
19,   57.098,  58,   57.626,  0.342,  58,   56.755
20,   61.374,  62,   62.036,  0.296,  62,   61.077
21,   65.633,  66,   66.501,  0.164,  66,   65.470
22,   70.182,  71,   71.073,  0.253,  71,   69.929
23,   74.789,  76,   75.667,  0.336,   -,   74.453
24,   79.460,  81,   80.345,  0.423,   -,   79.038
25,   84.185,  86,   85.034,  0.503,   -,   83.682
26,   88.959,  91,   89.830,  0.577,   -,   88.382
27,   93.771,  96,   94.627,  0.634,   -,   93.137
28,   98.634, 101,   99.494,  0.690,   -,   97.944
29,  103.545, 106,  104.365,  0.743,   -,  102.802
30,  108.509, 111,  109.326,  0.800,   -,  107.709
31,  113.521, 116,  114.296,  0.858,   -,  112.663
32,  118.513, 121,  119.320,  0.850,   -,  117.663
33,  123.554, 126,  124.339,  0.847,   -,  122.708
34,  128.638, 131,  129.474,  0.843,   -,  127.795
35,  133.762, 136,  134.651,  0.838,   -,  132.924
36,  138.892, 141,  139.877,  0.797,   -,  138.094
37,  144.062, 146,  145.144,  0.759,   -,  143.304
38,  149.281, 151,  150.442,  0.729,   -,  148.552
39,  154.498, 156,  155.798,  0.661,   -,  153.837
40,  159.782, 161,  161.194,  0.623,   -,  159.159
41,  165.003, 166,  166.645,  0.486,   -,  164.517
42,  170.274, 171,  172.098,  0.365,   -,  169.909
43,  175.781, 177,  177.664,  0.446,   -,  175.335
44,  181.333, 183,  183.186,  0.538,   -,  180.795
45,  186.908, 189,  188.759,  0.622,   -,  186.286
46,  192.519, 195,  194.391,  0.709,   -,  191.810
47,  198.147, 201,  200.004,  0.782,   -,  197.365
48,  203.832, 207,  205.702,  0.882,   -,  202.950
49,  209.519, 213,  211.349,  0.955,   -,  208.564
50,  215.254, 219,  217.073,  1.046,   -,  214.208
51,  221.009, 225,  222.860,  1.129,   -,  219.881
52,  226.785, 231,  228.608,  1.204,   -,  225.581
53,  232.583, 237,  234.375,  1.274,   -,  231.309
54,  238.401, 243,  240.219,  1.338,   -,  237.064
55,  244.248, 249,  246.069,  1.403,   -,  242.845
56,  250.134, 255,  251.921,  1.481,   -,  248.653
57,  255.984, 261,  257.775,  1.499,   -,  254.485
58,  261.927, 267,  263.731,  1.584,   -,  260.343
59,  267.854, 273,  269.630,  1.628,   -,  266.226
60,  273.807, 279,  275.518,  1.674,   -,  272.133
61,  279.762, 285,  281.467,  1.699,   -,  278.064
62,  285.772, 291,  287.396,  1.754,   -,  284.018
63,  291.761, 297,  293.428,  1.765,   -,  289.995
64,  297.792, 303,  299.426,  1.797,   -,  295.995
